id,joke,label
132,为什么“回文”不是以同样的方式向后拼写？,0
133,如果我能说出将来会发生什么，我就不会出现。,0
134,如果美国母亲用小汤匙喂养婴儿，中国母亲会用什么 - 牙签？,1
135,一天，儿子用短信和妈妈聊天，突然他收到一条空白短信，很是奇怪，便发短信问妈妈这是什么意思。 妈妈回曰：“这表示我向你翻白眼。”,1
136,如果它永远不会回来，那从来就不是你的。,0
137,高考的时候前座女生狐臭，特别严重，窗户在她那边，我坐她后面全程失智，根本没法呼吸。最后数学考砸了，到现在都恨她。,1
138,楼下饭店门口有个屏风，写了四个大字：客如云来。 上星期路过，看到老板正站在屏风前问服务员:“今天生意咋样？” 服务员：“万里无云。”,1
139,那些为之奋斗的人都知道自由的真正品味。,1
140,阅读此内容时，您可以注意到最好的苏格兰口音。,1
141,儿子考试回来说：“妈妈，我考了一百分你怎么奖励我啊？” 妈妈说：“奖励100元怎么样啊？” 儿子说：“我考了50分，你先奖赏我50元吧。”,1
142,矛盾的道路标志：如果你已经不在家，那你就不住在这里。,1
143,小强的妻子是电脑迷。 小强：我的稿纸呢？ 妻子：在回收站里面。 小强：回收站在哪里？ 妻子：在桌面。 小强就一直在桌上找。,1
144,只要你起床时从地板上捡起东西就摔倒了，这没关系。,0
145,"讨厌啦,不要问单身男人这种问题！",1
146,牙疼得要命，连话都说不了，去药店拿药，指着自己的嘴巴啊了两声，示意老板给拿点治牙疼的药。 老板瞟了一眼说：“治哑巴的药我这儿没有。”,1
147,她只是调酒师的女儿，但她知道如何抓住她。,0
148,小贤：我昨天帮家里的狗洗澡，结果……死了。 小力：洗澡？不可能吧？ 小贤：嗯，如果不是洗衣机要了它的命，那么就是烘衣机了。,1
149,儿子：“爸爸，你喂过马吗？” 爸爸：“是呀，下放农村时喂过。” 儿子：“怪不得叔叔阿姨们说你最会拍马……”,1
150,科学的目标是建立一个更好的捕鼠器; 自然的目标是建立一个更好的老鼠。,1
151,我上高中的时候和我弟弟一个班，他就坐在我后面。 一天晚上我们地理老师问我们：你们谁是姐姐？谁是弟弟？ 当时我就呆掉了！,1
152,指着成绩好的学生道：“你看，别人玩手机都不忘看书！”,1
153,有一天你会发现自己 - 并希望你没有。,0
154,一个大学男孩向一个老人家里送了一个披萨。,0
155,成为一名计算机程序员，再也不会看到这个世界。,1
156,一个男孩对女孩说，我们一人出5毛，我们就一块了。 我们一人出6毛，我们就一块二了。 我们一人出7毛就 一块四（死）了。,1
157,警察抓住一个小偷，并在其家中发现大量时装杂志。 警察十分不解地问：“你想做服装生意吗？” 小偷不好意思地说：“主要是看新款服装口袋在哪里。”,1
158,长张鞋垫脸，就别怪人踩着。,1
159,一天晚上，有三个人站在珍珠门前。,0
160,有人向我挑战说：你放马过来。我不回话，只是疾弛而去，然后马后炮打倒他。,1
161,铁公鸡还会留点铁锈呢，你根本就是个不锈钢公鸡！,1
162,某人是个大胖子，一天，他去称体重，大喜：我只有30公斤。 家人一看，原来他是300公斤，表转了一圈又回来了,1
163,经理追求女秘书。 亲爱的，你不是答应嫁给我吗？ 我在哪里说过这话？ 飞机上。 哦，那是空话。,1
164,普罗米修斯：从地狱偷火是不是更方便，更方便？,1
165,在历史课堂上，老师问一个学生：屈原是什么人？ 是医生。 胡说！ 怎么胡说呢，书上明明说他是大夫嘛。,1
166,男：你在想什么？ 女：我希望来世还能和你在一起。 男：…… 女：你在想什么？ 男：我希望这一世能永生。,1
167,两个男人在谈论他们的妻子。 杰克：“你是否想过没有她你会怎样生活？” 马丁：“开销更少。”,1
168,昨天有个人说要给我介绍一个女朋友，我本来想问“漂亮吗”，结果说成“便宜吗”。 汗死自己！,1
169,历史告诉我们，我们从历史中学到的一切。,1
170,爸妈打你，都是因为爱你，如果不爱你，早就打死你了。,1
171,用户友好的计算机首先需要友好的用户。,0
172,父亲看完儿子的成绩单后说：有一点我可以相信，看你这种成绩，就知道你考试没有作弊。 儿子：不是没有作弊，是作弊没有成功。,1
173,一家人吃桃。 妈妈问：“桃的英文怎么说？” 女儿答：“Peach.” 妈妈对爸爸说：“给你个‘屁吃’”,1
174,英语女教师笑盈盈地问学生：“当我说‘我很漂亮’的时候，这是什么时态？” 学生们异口同声地回答：“过去时，老师。”,1
175,人的头脑通常仅以其容量的10％运行 - 其余的是操作系统的开销。,1
176,老师来到教室通知道：“同学们，明天我们要进行摸底考试，大家好好准备一下，这节课上自习。” 一学生在下面嘀咕道：“老师，我们心里没‘底’，还是别摸了。”,1
177,父亲，儿子和圣灵不被称为爸爸，少年和幽灵。,1
178,如果你知道钱的价值，试着借一些。,1
179,新买了一个无线鼠标，悄悄把接收头插在同学机箱后面的usb口上，然后偷偷的在一边移动鼠标，同学看到后惊叹不止。 然后换鼠标，拔网线，杀毒，重装系统……,1
180,实验室工作的第一定律：热玻璃看起来与冷玻璃完全相同。,0
181,房地产之歌:铸我百姓千年苦，尽君一时盛世欢！,1
182,两分钟警告：当宝宝的脸变红并开始发出那些熟悉的咕噜声时。,1
183,多年来我一直爱着同一个女人。如果我的妻子发现，她会杀了我！,0
184,狼行天下，吃肉；狗行天下，吃屎。,1
185,猫似乎遵循这样的原则，即要求你想要的东西永远不会有任何伤害。,0
186,如果你有一半的心情去看电视 - 这就足够了！,1
187,我拿什么整死你的爱人。,1
188,加班，半夜回家，打开门，发现地上多了一双陌生男人的鞋。 在屋子里转了一圈，没人啊！回头再看，那双鞋不见了…… 谁能告诉我这是神马情况？,1
189,大并不一定意味着更好......太阳花并不比紫罗兰更好。,1
190,一个法国人，一个德国人和一个犹太人在沙漠中迷路，徘徊了好几天。,0
191,世界上最困难的事情之一就是说服一个女人，即便讨价还价也要花钱。,1
192,记住该记住的，忘记该忘记的。改变能改变的，接受不能改变的。,1
193,我站起身来给一孕妇让座，她疑惑地看了看我，忽然明白过来，哭笑不得道：同学，我这是胖！,1
194,晚上失眠，翻来覆去的。 室友便好奇道：干嘛呢？ 我：睡不着…… 室友：有啥好想，蒙头便睡就是。 我：我在想我为什么睡不着。 室友：……,1
195,由于强烈的心灵迷雾，我的所有想法都被搁置了。,0
196,一年轻人敲开了作曲家的房子，说：请问，罗西工程师是在这里住吗？ 不，作曲家回答，罗西工程师的家比我高两个八度。,1
197,谎言没有腿站立，但它得到了位置。,1
198,光棍汉想到自己没媳妇，便自我安慰：不是我找不到，是我岳母大人流-产了！,1
199,如果你不喜欢这个答案，你就不应该问这个问题。,1
200,赫伯特定律：如果它是好的，他们就会停止制造它。,0
201,当他们全都被困在一起时，他们为什么称他们为“公寓”？,0
202,我的母亲埋葬了三个丈夫，其中两个只是打盹。,0
203,恐惧与冒险的唯一区别在于你呼吸多少。,0
204,实习老师第一堂课自我介绍道：“我姓李，草字头的李。”,1
205,克里斯不会在学校，因为他身边有一英亩的土地。,0
206,史蒂夫很震惊，并说，这是一个非常敏锐的年轻人。,0
207,坦迪 - 你可以买得更好，但你不能支付更多。,0
208,这是一切有趣和游戏，直到一些神圣的生物用闪电击中你。,0
209,初次见岳母，顺便提亲，不知该如何称呼她，是普通青年叫阿姨，还是文艺青年叫伯母，最后2B的叫了声，伯姨! 把她给逗乐了，顺利拿下婚事!,1
210,妻子：你由于失恋，后来发奋起来，才有今日那样的成就。 丈夫：我在那时，你若讨厌我，我到今天也出人头地了。,1
211,语法课上，约翰思想开了小差。突然教师问道：约翰，你能说出两个代词吗？ 约翰站起来，摇摇头说：谁？我！,1
212,女儿：妈，就照您说的，他要是养活他妈，我就跟他吹！ 母亲：嘘小声点，别让里屋听到。 女儿：里屋还有谁呀？ 母亲：你弟弟的对象。,1
213,我不是超速驾驶我只是驾驶我的车。,1
214,一哥们，不知道哪根筋乱了，问我，毫升用字母表示是什么？ 公司众mm在整理文件，我脱口而出ml。后来因为行为不检点罚了50元。,1
215,共有26种维生素，但有些字母还未被发现。,1
216,单身汉：一个错过机会让一些女人悲惨的男人。,1
217,茂儿宿舍有一哥们儿，家里开药铺的。一天茂儿回宿舍，见这哥们儿上身儿赤裸，贴满了狗皮膏药，茂儿惊问：大哥，咋了？ 大哥说：明儿就过期了。,1
218,生，容易。活，容易。生活，不容易。,1
219,我成了一名专业的渔民，却发现我无法依靠自己的净收入生活。,0
220,如果不使用拇指，八进制计数就像十进制计数一样。,1
221,地球是一个伟大的，大的乐趣，没有乐趣。,0
222,如果你有很多，给你的财富; 如果你有一点点，那就放弃你的心。,1
223,和同事逛街，看到婴儿奶粉的价格，这姑娘叹口气。 很深沉地拍拍自己的胸：“一定要争气啊…”,1
224,所有相信心理运动的人都会举手。,0
225,药监局局长怀疑孩子不是亲生的，做了签定，果然。 于是，很贴心的给孩子喝老酸奶，有点小病就吃修正胶囊。不久，又果然了。,1
226,一个乐观的人处事态度应该是：先天下之忧而乐，先天下之乐而乐。,1
227,有个有钱人得了绝症，眼看要死了，就偷偷把自己的钱分成好多份，立下遗嘱：每年清明让家人在他的墓前团聚，先祭奠他，然后举行……抽奖活动。,1
228,这表号称电池比人的寿命还长，果然第二天人就死了。,1
229,那些不能自嘲的人将这份工作留给别人。,1
230,两岁儿子夜里往妈妈被窝里钻，要妈妈抱。 父亲大叫一声：“别随便动，那是我老婆！”,1
231,像鱼一样的房客，第三天过后就发臭了。,1
232,如果你不喜欢我，你就马上离开我，有人会喜欢我的。,1
233,几分钟之后，他的老板回电报指示：“立即上诉！”,1
234,那些自负的人嘛，总会不由地鸡鸣于鹤群之中。,1
235,我不打算采取政治口气。我只是在这里吸毒。,0
236,鹿群慢慢的向他走来，他得手心开始出汗，他闭上眼猛地从树林中跳了出来，向天空打了一枪，并喊到：都不许动，我是警察！,1
237,过年时我老妈买了一对狗狗的贴图，结果我发现一个上面写着“发”字，一个上面写着“福”字，这不是严重打击我减肥积极性么……,1
238,你会相信谁，我或你自己的眼睛？,0
239,我只是想复仇。那是错的吗？,0
240,朋友问我电脑配置，我说显示器是彩屏的。(本来是想说液晶的),1
241,儿子：爸爸，我们老师连老虎都没见过。 父亲：你怎么知道的？ 儿子：昨天，我把我画的老虎拿给他看，他问我画的是不是狗。,1
242,为什么购买需要2000次冲洗的产品才能摆脱？,0
243,甲：“给我讲个悲剧吧?” 乙：“男人结扎完，妻子流产了。” 甲：“有没有更悲剧的?” 乙：“男人结扎完，妻子怀孕了……”,1
244,我没有体面的感觉。这样，我的所有其他感官都得到了增强。,1
245,"夫妇感到奇怪,晚上就拿着信封中的两张电影票去看电影了。等结束后回到家里,发现家中贵重物品被洗劫一空,在桌上有一封信,上写:你们知道是谁请你们看电影了吧?",1
246,当我向后走时，感觉就像我正在帮助其他人更快地前进。,1
247,女：“医生，我丈夫老是说梦话。” 医生：“不要紧，我给你开一张处方，定能治好。” 女：“不用了！那是他同我谈话的唯一时刻。”,1
248,亲爱的！你误会我的意思了。丈夫对正在凝望着裘皮店橱窗的妻子说，我提议找点东西暖和一下，意思是指喝杯热茶什么的。,1
249,70后，他们变得像阿富汗。大多数人都知道它在哪里，但没有人想去那里。,1
250,一个妈妈生了一个女孩取名美丽。 别人问她，为何要取这么俗的名字。 那个妈妈回答说：这样，别人才会叫我美丽的妈妈呀！,1
251,胖子跌倒了是根本爬不起来的。,1
252,记住，你并不孤单。每个人的家人都很疯狂。,0
253,您的真正价值完全取决于您所与之相比。,0
254,美国语是一种非常难以与英语混合的语言。,0
255,当你在桃园时，不要寻找萝卜。,0
256,不要在街上玩耍 - 你可能会感受到这种感觉。,0
257,如果你把钥匙放进熔岩熔岩的河里，那就让他们去吧，因为，伙计，他们已经走了。,1
258,老师对一个睡觉刚醒的学生说：“我特意大声讲课，你却故意睡觉。” “我特意睡觉，你却故意大声吵闹。”学生回答说。,1
259,当一个男孩走过一个水坑而不是通过它时，他就变成了男人。,1
260,询问计算机是否可以思考就像询问潜艇是否可以游泳一样。,0
261,我们将每天继续开会，直到找到为什么没有完成工作。,0
262,约翰太太买了牛肉回家，发觉牛肉注了水。第二天，她找到卖牛肉的商人论理。 商人坦然地说：“我卖的本来就是水牛肉嘛！”,1
263,他走路时好像平衡了他鼻子上的家谱。,1
264,蘑菇总是生长在潮湿的地方，这就是它们看起来像雨伞的原因。,1
265,有一天上课了，老师发现小明用手捂着左耳朵。 老师问：小明你为什么用手捂者你的左耳朵？ 小明说：我害怕知识跑了。,1
266,你唯一的年轻人; 你可以永远不成熟。,0
267,聪明是如此简单。想想一些愚蠢的话，然后不要说出来。,0
268,新手司机不慎将制动踏板当成刹车酿成悲剧——建议封楼主永久。,1
269,匆忙：一股清新的风吹过无知的垃圾填埋场。,0
270,始终记录数据，表明您一直在工作。,0
271,您拥有的组件将扩展以填充可用空间。,0
272,老师说：大家都来说一个故事，开头恐怖、中间好笑、结局悲惨的故事。例如，从前有个鬼，放了个屁，最后死了。 小强说：遇到凤姐，爱上凤姐，娶了凤姐。,1
273,如果隧道尽头有光......请订购更多隧道。,1
274,一对夫妻吵架，妻子生气就回了娘家，那天突然要回家。 她母亲：“你原谅他了？” 妻子：“才不呢！我回去是不想让那混蛋一个人在家过好日子！”,1
275,有人对你的爱的程度与你爱他们的程度成反比。,1
276,这位建筑师说他很享受与妻子在一起的时间，为持久的关系奠定了坚实的基础。,1
277,根据孩子的说法，这适用于任何场合，包括教堂和葬礼。,0
278,很少有事情让我的妻子不高兴。成为其中之一让我觉得很特别。,1
279,孔子说......夫妻俩在7天的蜜月会让自己变得虚弱。,1
280,光棍节那天没敢上线，怕有人安慰我。现在明白，我真是想多了！,1
281,“你小时候的梦想实现了吗？” “实现了一半……那时侯想当警察叔叔……现在当上了叔叔。”,1
282,病人：我做了阑尾手术之后，体重减轻了差不多15公斤。 外科医生：瞧你说的，哪有15公斤重的阑尾！,1
283,换句话说：你在地球上几乎不会崩溃。,0
284,一天一个苹果，可以把医生赶跑；如果你要想当个隐士，换头大蒜试试。,1
285,你之所以容不下沙子，是你用的选面粉的筛子，太细微了。我之所以能把你忍下，是我用了捕大鱼的网子，让小鱼都溜过去了。,1
286,如果你决定开始在街上跳舞，那么你遇到的每个人都会知道所有的步骤。,0
287,基督徒对海涅说：你和耶酥是同一民族的后裔。我若是您，会引以自豪的。 海涅：我也如此，倘若除了耶稣再无一人是这个民族的后裔的话。,1
288,瑞德巴特勒俱乐部？..........我不是该死的。,0
289,可怕。真可怕的。但你爱它，不是吗？,0
290,曼利的马克西姆：逻辑是一种有信心地得出错误结论的系统方法。,1
291,你长得挺有创意，活得挺有勇气，丑不是你的本意，是上帝在发脾气。,1
292,美丽只是皮肤深层，世界上充满了皮肤薄的人。,1
293,而且我当然不能把它排除在外 - 这是我妻子的最爱。,0
294,我打赌你不能在这里停止阅读........................看，我知道了！,0
295,一朋友有天喝多了，回家躺床上就睡，中途醒了发现身边有个鸡蛋，拿起来就喊她妈，非说自己下了个蛋。,1
296,铭铭请一哥们吃饭，他妈妈叫他不要喝酒，酒足饭饱后， 他妈妈打电话给他，他没接，刚刚问他为什么不接？ 他说接电话怕他妈妈闻到酒味！,1
297,一个人走进眼镜店，抱怨说，他新配的眼镜太紧，夹得头很痛。 服务员问：是否需要帮他把眼镜调松一点。 那个人答：不用了，我只想你帮我按摩一下头。,1
298,金钱不会让你开心，快乐不会让你赚钱。,1
299,把别人拉下来时，你一定也在下面。,1
300,如果一个同步的游泳运动员淹死了，那么其余的也会淹死吗？,0
301,避免5点钟的匆忙 - 总是在中午离开工作。,1
302,最好被认为是傻瓜，然后张开嘴并消除所有怀疑。,1
303,在通过最终检查之前，设备中的故障将永远不会出现。,1
304,银行职员见状大笑了起来，男子怒喝： “有什么好笑的？！”职员继续大笑着说： “第一次见到没套丝袜还这么丑的哈哈哈哈！”,1
305,当你追求完美时，你发现它是一个移动的目标。,0
306,当一个不可知论者去世时，他是否会去找伟大的人？,0
307,老天，我以后再也不叫你爷了。你压根就不爱我这个孙子。,1
308,图书馆将缺少对完成学期论文最重要的书籍或期刊。,1
309,男：你真的很讨厌。 女：是吗，我怎么样让你讨厌？ 男：因为在我心中你真的很讨人喜欢，百看不厌呀！,1
310,牛X老师的课堂要求：本课进出自由，可以随时退出，可以逃课，不需请假，尤其不要撒谎说：“我病了”，健康最重要，任何时侯都不要开这种“不健康”的玩笑。,1
311,刚刚被打了，因为跟公司新来的香港会计师说，“你记账吗？”,1
